func_addr,func_name,string_addr,string
1000:0015,FUN_1000_0015,1000:0001,"MONSTERS.DAT"
1000:0015,FUN_1000_0015,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:0015,FUN_1000_0015,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:0015,FUN_1000_0015,2000:2f51,"Sunday"
1000:0447,FUN_1000_0447,1000:0001,"MONSTERS.DAT"
1000:0447,FUN_1000_0447,1000:00b0," Credits: "
1000:0447,FUN_1000_0447,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:0447,FUN_1000_0447,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:0447,FUN_1000_0447,2000:2f51,"Sunday"
1000:07a7,FUN_1000_07a7,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:07a7,FUN_1000_07a7,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:080a,FUN_1000_080a,1000:0001,"MONSTERS.DAT"
1000:080a,FUN_1000_080a,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:080a,FUN_1000_080a,2000:0e84,"PLAY-CMF.COM"
1000:080a,FUN_1000_080a,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:080a,FUN_1000_080a,2000:1795,"SETSPEED.EXE"
1000:080a,FUN_1000_080a,2000:2f51,"Sunday"
1000:080a,FUN_1000_080a,2000:2f6e," Wednesday"
1000:080a,FUN_1000_080a,2000:2f83,"Friday"
1000:1138,FUN_1000_1138,1000:0001,"MONSTERS.DAT"
1000:1138,FUN_1000_1138,1000:1124," Loading..."
1000:1138,FUN_1000_1138,2000:0e84,"PLAY-CMF.COM"
1000:1138,FUN_1000_1138,2000:1795,"SETSPEED.EXE"
1000:1138,FUN_1000_1138,2000:2f51,"Sunday"
1000:1138,FUN_1000_1138,2000:2f6e," Wednesday"
1000:1138,FUN_1000_1138,2000:2f83,"Friday"
1000:172b,FUN_1000_172b,1000:0001,"MONSTERS.DAT"
1000:172b,FUN_1000_172b,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:172b,FUN_1000_172b,2000:0e94,"DOS Erorr #U"
1000:172b,FUN_1000_172b,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:172b,FUN_1000_172b,2000:23c6,"v7UQ"
1000:172b,FUN_1000_172b,2000:2eeb,"!RP3"
1000:172b,FUN_1000_172b,2000:2f51,"Sunday"
1000:172b,FUN_1000_172b,2000:2f5b,"Monday"
1000:172b,FUN_1000_172b,2000:2f65,"Tuesday"
1000:172b,FUN_1000_172b,2000:2f6e," Wednesday"
1000:1ec9,FUN_1000_1ec9,1000:0001,"MONSTERS.DAT"
1000:1ec9,FUN_1000_1ec9,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:1ec9,FUN_1000_1ec9,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:1ec9,FUN_1000_1ec9,2000:2f51,"Sunday"
1000:20db,FUN_1000_20db,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1000:20db,FUN_1000_20db,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1000:21a4,FUN_1000_21a4,1000:0001,"MONSTERS.DAT"
1000:21a4,FUN_1000_21a4,1000:212f," STARFM.CMF"
