# addr_seg:off    body_size  name                         #refs_in
1000:0015              131  FUN_1000_0015                   1
1000:0447              860  FUN_1000_0447                   1
1000:07a7               99  FUN_1000_07a7                   1
1000:080a             2257  FUN_1000_080a                   1
1000:1138              955  FUN_1000_1138                   1
1000:172b             1942  FUN_1000_172b                   2
1000:1ec9              496  FUN_1000_1ec9                   3
1000:20db               84  FUN_1000_20db                   1
1000:21a4              231  FUN_1000_21a4                   1
1000:2313              662  FUN_1000_2313                   1
1000:2625             2517  FUN_1000_2625                   1
1000:300a              200  FUN_1000_300a                   1
1000:30e2              515  FUN_1000_30e2                   1
1000:3316              377  FUN_1000_3316                   7
1000:34fa              492  FUN_1000_34fa                   1
1000:3749              618  FUN_1000_3749                   1
1000:3a11              531  FUN_1000_3a11                   1
1000:3cb4              768  FUN_1000_3cb4                   1
1000:3fe8              338  FUN_1000_3fe8                   1
1000:4142               57  FUN_1000_4142                   1
1000:4189              417  FUN_1000_4189                   1
1000:43f7             2215  FUN_1000_43f7                   1
1000:4cbe              884  FUN_1000_4cbe                   2
1000:503d               56  FUN_1000_503d                   14
1000:50a6             1437  FUN_1000_50a6                   1
1000:5674             1373  FUN_1000_5674                   1
1000:5be6               79  FUN_1000_5be6                   1
1000:5c46               49  FUN_1000_5c46                   1
1000:5d15              537  FUN_1000_5d15                   1
1000:6165             1682  FUN_1000_6165                   1
1000:687f             2289  FUN_1000_687f                   2
1000:72cf              959  FUN_1000_72cf                   2
1000:7697               49  FUN_1000_7697                   2
1000:76f9             6330  FUN_1000_76f9                   3
1000:8fbf               52  FUN_1000_8fbf                   36
1000:8ffd               52  FUN_1000_8ffd                   36
1000:903b               52  FUN_1000_903b                   36
1000:9077               52  FUN_1000_9077                   20
1000:90b3               41  FUN_1000_90b3                   8
1000:90dc               85  FUN_1000_90dc                   54
1000:915b             4435  FUN_1000_915b                   2
1000:a2e3              102  FUN_1000_a2e3                   2
1000:a351              117  FUN_1000_a351                   23
1000:a657             3033  entry                           1
1b24:0000              788  FUN_1b24_0000                   4
1b24:0314               89  FUN_1b24_0314                   1
1b5b:0000              140  FUN_1b5b_0000                   7
1b5b:0099              289  FUN_1b5b_0099                   48
1b5b:01ba              129  FUN_1b5b_01ba                   14
1b5b:0248              306  FUN_1b5b_0248                   7
1b5b:0387              177  FUN_1b5b_0387                   33
1b5b:0438                5  FUN_1b5b_0438                   1
1b9f:0000               35  FUN_1b9f_0000                   1
1b9f:0023               72  FUN_1b9f_0023                   1
1b9f:006b               65  FUN_1b9f_006b                   12
1b9f:00ac               69  FUN_1b9f_00ac                   1
1b9f:032f              667  FUN_1b9f_032f                   1
1bfc:0000               40  FUN_1bfc_0000                   14
1bfc:0028               40  FUN_1bfc_0028                   7
1bfc:0050              121  FUN_1bfc_0050                   73
1bfc:00c9               63  FUN_1bfc_00c9                   2
1bfc:0108               63  FUN_1bfc_0108                   10
1bfc:0147               19  FUN_1bfc_0147                   1
1bfc:015a               19  FUN_1bfc_015a                   2
1bfc:016d                9  FUN_1bfc_016d                   1
1c14:0055               80  FUN_1c14_0055                   1
1c14:00a5               22  FUN_1c14_00a5                   0
